Number of neurons,alpha,lambda,pct
20,0.01,0.01,0.23
20,0.01,0.1,0.25
20,0.01,0,0.19
20,0.01,1,0.22
20,0.01,10,0.18
20,0.1,0.01,0.21
20,0.1,0.1,0.29
20,0.1,0,0.35
20,0.1,1,0.2
20,0.1,10,0.21
20,0,0.01,0.2
20,0,0.1,0.2
20,0,0,0.2
20,0,1,0.19
20,0,10,0.19
20,1,0.01,0.44
20,1,0.1,0.2
20,1,0,0.45
20,1,1,0.23
20,1,10,0.2
20,10,0.01,0.26
20,10,0.1,0.2
20,10,0,0.38
20,10,1,0.2
20,10,10,0.2
50,0.01,0.01,0.2
50,0.01,0.1,0.23
50,0.01,0,0.21
50,0.01,1,0.19
50,0.01,10,0.19
50,0.1,0.01,0.25
50,0.1,0.1,0.33
50,0.1,0,0.35
50,0.1,1,0.24
50,0.1,10,0.18
50,0,0.01,0.16
50,0,0.1,0.2
50,0,0,0.19
50,0,1,0.23
50,0,10,0.24
50,1,0.01,0.42
50,1,0.1,0.23
50,1,0,0.63
50,1,1,0.2
50,1,10,0.2
50,10,0.01,0.21
50,10,0.1,0.22
50,10,0,0.23
50,10,1,0.2
50,10,10,0.2
100,0.01,0.01,0.21
100,0.01,0.1,0.23
100,0.01,0,0.2
100,0.01,1,0.2
100,0.01,10,0.22
100,0.1,0.01,0.3
100,0.1,0.1,0.3
100,0.1,0,0.36
100,0.1,1,0.23
100,0.1,10,0.18
100,0,0.01,0.2
100,0,0.1,0.15
100,0,0,0.2
100,0,1,0.18
100,0,10,0.2
100,1,0.01,0.67
100,1,0.1,0.27
100,1,0,0.69
100,1,1,0.18
100,1,10,0.2
100,10,0.01,0.2
100,10,0.1,0.2
100,10,0,0.2
100,10,1,0.2
100,10,10,0.2
50,0,0,0.192
50,0,0.001,0.188
50,0,0.003,0.188
50,0,0.009,0.2
50,0,0.03,0.186
50,0,0.09,0.192
50,0,0.3,0.182
50,0,0.9,0.208
50,0,2,0.206
50,0,3,0.204
50,0.001,0,0.194
50,0.001,0.001,0.194
50,0.001,0.003,0.182
50,0.001,0.009,0.204
50,0.001,0.03,0.192
50,0.001,0.09,0.196
50,0.001,0.3,0.198
50,0.001,0.9,0.196
50,0.001,2,0.188
50,0.001,3,0.212
50,0.003,0,0.2
50,0.003,0.001,0.21
50,0.003,0.003,0.196
50,0.003,0.009,0.214
50,0.003,0.03,0.2
50,0.003,0.09,0.204
50,0.003,0.3,0.212
50,0.003,0.9,0.196
50,0.003,2,0.19
50,0.003,3,0.206
50,0.009,0,0.218
50,0.009,0.001,0.216
50,0.009,0.003,0.206
50,0.009,0.009,0.206
50,0.009,0.03,0.206
50,0.009,0.09,0.212
50,0.009,0.3,0.226
50,0.009,0.9,0.196
50,0.009,2,0.214
50,0.009,3,0.21
50,0.03,0,0.262
50,0.03,0.001,0.214
50,0.03,0.003,0.226
50,0.03,0.009,0.25
50,0.03,0.03,0.256
50,0.03,0.09,0.254
50,0.03,0.3,0.232
50,0.03,0.9,0.238
50,0.03,2,0.234
50,0.03,3,0.206
50,0.09,0,0.334
50,0.09,0.001,0.3
50,0.09,0.003,0.332
50,0.09,0.009,0.282
50,0.09,0.03,0.3
50,0.09,0.09,0.262
50,0.09,0.3,0.226
50,0.09,0.9,0.192
50,0.09,2,0.19
50,0.09,3,0.218
50,0.3,0,0.476
50,0.3,0.001,0.468
50,0.3,0.003,0.498
50,0.3,0.009,0.46
50,0.3,0.03,0.412
50,0.3,0.09,0.326
50,0.3,0.3,0.204
50,0.3,0.9,0.21
50,0.3,2,0.198
50,0.3,3,0.204
50,0.9,0,0.538
50,0.9,0.001,0.542
50,0.9,0.003,0.54
